De-ID,Women's Work,Childcare,MO.Occup,Age,NumCld,AgeYoungestCld,NumWorkPartners,NumCldcarePartners,Avg_Rel_WorkPartners,Avg_Rel_CldcarePartners,NumUnrel_Work,NumRel_Work,NumUnrel_Cldcare,NumRel_Cldcare,ShareHH_Work,ShareHH_Cldcare
4,Y,Y,Fish,26,3,0.1,1,1,0,0,0,1,0,1,1,0
6,Y,Y,Fish,25,3,2,1,1,0,0,0,1,0,1,1,1
9,Y,Y,Fish,29,2,6,1,1,0,0.5,0,1,0,1,1,0
10,Y,Y,Fish,38,1,16,1,1,0,0.5,0,1,0,1,1,0
11,Y,Y,Fish,43,6,16,2,1,0.25,0.5,0,2,0,1,2,0
5,Y,Y,Fish,17,1,1,1,2,0,0,0,1,0,2,1,0
7,Y,Y,Fish,43,6,6,1,2,0,0.25,0,1,0,2,1,1
8,Y,Y,Fish,38,3,10,2,2,0.25,0.25,0,2,0,2,2,2
1,Y,N,Fish,19,1,2,1,NA,0,NA,0,1,NA,NA,1,NA
2,Y,N,Fish,53,3,21,1,NA,0,NA,0,1,NA,NA,1,NA
3,Y,N,Fish,57,2,26,1,NA,0.5,NA,0,1,NA,NA,0,NA
24,N,Y,Trade,46,7,5,NA,5,NA,0.2,NA,0,1,4,NA,2
28,Y,Y,Trade,42,6,8,3,2,0,0,3,0,2,0,0,0
26,Y,Y,Trade,21,1,4,1,1,0,0,1,0,0,1,0,0
33,Y,Y,Trade,28,1,9,1,1,0,0.125,1,0,0,1,0,0
45,Y,Y,Trade,21,1,6,3,1,0,0.5,3,0,0,1,0,0
46,Y,Y,Trade,38,2,7,5,1,0,0.5,5,0,0,1,0,1
29,Y,Y,Trade,37,4,14,4,1,0.125,0,2,2,0,1,0,0
48,Y,Y,Trade,33,2,7,3,1,0.5,0.5,0,3,0,1,0,0
32,Y,Y,Trade,33,2,13,4,2,0,0.06,0,4,1,1,0,0
36,Y,Y,Trade,30,4,0.4,2,2,0,0.25,2,0,0,2,0,1
37,Y,Y,Trade,35,3,0.7,2,2,0,0.25,2,0,0,2,0,2
44,Y,Y,Trade,31,3,1,3,2,0,0.375,3,0,0,2,0,0
30,Y,Y,Trade,35,4,4,2,2,0.25,0,1,1,0,2,0,0
38,Y,Y,Trade,63,3,31,3,2,0,0.25,2,1,0,2,0,1
27,Y,Y,Trade,25,3,4,2,2,0,0,0,2,0,2,0,2
39,Y,Y,Trade,24,2,0.5,2,2,0.5,0.25,0,2,0,2,0,0
31,Y,Y,Trade,45,3,13,0,2,NA,0,NA,NA,0,2,NA,1
42,Y,Y,Trade,35,2,9,2,3,0.06,0.33,1,1,1,2,0,1
35,Y,Y,Trade,65,7,13,4,3,0,0.21,4,0,0,3,0,1
41,Y,Y,Trade,43,6,15,7,3,0,0.33,7,0,0,3,0,1
47,Y,Y,Trade,23,1,9,3,3,0.167,0.5,2,1,0,3,0,0
43,Y,Y,Trade,52,8,15,4,3,0.25,0.33,0,4,0,3,0,1
40,Y,Y,Trade,21,1,4,1,4,0,0.28,1,0,0,4,0,1
34,Y,Y,Trade,21,1,4,4,5,0,0.2,0,4,0,5,0,1
25,Y,N,Trade,33,5,3,1,NA,0,NA,0,1,NA,NA,1,NA